document_file,document_title,image_file,image_reference_type,image_reference_line,detected_image_type,has_interactive_buttons,interactive_buttons_magenta,hard_fail_triggered,hard_fail_reason,score_topic_match,score_detail_match,score_section_relevance,score_visual_evidence,score_contradictions,overall_score,final_verdict,processing_error,api_http_status,api_finish_reason,api_attempt,match_reasons,missing_evidence
api-ref/source/appendix/obtaining_a_project_id.rst,Obtaining a Project ID,,,,,,,,,,,,,,,fail,kein valides Bild,,,0,,
umn/source/faqs/how_do_i_start_the_activex_plug-in_when_using_internet_explorer_9_to_import_files.rst,How Do I Start the ActiveX Plug-in When Using Internet Explorer 9 to Import Files?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/getting_started/adding_tags_to_cloud_resources.rst,Adding Tags to Cloud Resources,,,,,,,,,,,,,,,fail,backend_error,500,,2,,
umn/source/getting_started/index.rst,Getting Started,,,,,,,,,,,,,,,fail,backend_error,,,2,,
umn/source/permissions_management/creating_a_user_and_granting_permissions.rst,Creating a User and Granting Permissions,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/quotas.rst,Quotas,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/application_scenarios.rst,Application Scenarios,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/logging_in_to_tms.rst,Logging In to TMS,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/region_and_az.rst,Region and AZ,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/service_overview/what_is_tag_management_service.rst,What Is Tag Management Service?,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/tag_management/predefined_tags/creating_predefined_tags.rst,Creating Predefined Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/tag_management/predefined_tags/deleting_predefined_tags.rst,Deleting Predefined Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/tag_management/predefined_tags/importing_and_exporting_predefined_tags.rst,Importing and Exporting Predefined Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/tag_management/predefined_tags/searching_for_predefined_tags.rst,Searching for Predefined Tags,,,,,,,,,,,,,,,fail,backend_error,429,,2,,
umn/source/tag_management/resource_tags/adding_a_tag_to_multiple_resources.rst,Adding a Tag to Multiple Resources,,,,,,,,,,,,,,,fail,backend_error,502,,2,,
